Date,Close
2015-01-01,100.47572917409224
2015-01-02,98.84476065834082
2015-01-03,98.40917978593149
2015-01-04,100.83490925995025
2015-01-05,103.5813322657592
2015-01-06,101.8905352852324
2015-01-07,100.38337077931307
2015-01-08,101.2349178611431
2015-01-09,103.80863902566209
2015-01-10,100.22049872628563
2015-01-11,103.57075949709271
2015-01-12,99.17036439089293
2015-01-13,99.57810931293756
2015-01-14,104.6404031762869
2015-01-15,101.16154892922592
2015-01-16,103.29033861120128
2015-01-17,104.091476768841
2015-01-18,106.87183708648573
2015-01-19,102.22917784653367
2015-01-20,103.00116310675307
2015-01-21,106.94004826173752
2015-01-22,102.84260685850869
2015-01-23,102.90016753052947
2015-01-24,102.6527003100776
2015-01-25,103.4232353509825
2015-01-26,107.57696905867357
2015-01-27,106.57557271077572
2015-01-28,104.4812953256939
2015-01-29,105.68559792837097
2015-01-30,105.38597808995705
2015-01-31,106.56043842030064
2015-02-01,106.74654666709421
2015-02-02,108.89653141107691
2015-02-03,107.51596717603609
2015-02-04,103.75424843513659
2015-02-05,104.68180528018894
2015-02-06,106.117679693019
2015-02-07,104.6913090298722
2015-02-08,106.9742407646993
2015-02-09,105.62769176262536
2015-02-10,106.54714238507276
2015-02-11,107.92956263639219
2015-02-12,106.75590545052623
2015-02-13,108.37010516262852
2015-02-14,108.52330956417998
2015-02-15,109.92704798944366
2015-02-16,107.97771871898811
2015-02-17,106.90475723939971
2015-02-18,106.75346477379577
2015-02-19,109.48846420842216
2015-02-20,108.75903565341432
2015-02-21,108.25914540826234
2015-02-22,106.65224050473576
2015-02-23,112.9765841680937
2015-02-24,108.29847234163908
2015-02-25,109.97001937095641
2015-02-26,110.99444384145438
2015-02-27,106.90246713686574
2015-02-28,107.78380059140056
2015-03-01,108.3777481308278
2015-03-02,108.66717514635813
2015-03-03,104.09082171854998
2015-03-04,107.89766088986617
2015-03-05,108.49984225108261
2015-03-06,104.05078689190837
2015-03-07,108.02708576699881
2015-03-08,106.68628378293256
2015-03-09,106.53078403629154
2015-03-10,105.36019344200751
2015-03-11,106.73428183768277
2015-03-12,107.10997324837089
2015-03-13,105.88323378138205
2015-03-14,107.29321800991282
2015-03-15,107.77874261806322
2015-03-16,108.69275582398625
2015-03-17,108.13123718300598
2015-03-18,104.06171484152564
2015-03-19,104.5495021750666
2015-03-20,108.23252521621585
2015-03-21,109.72396694278929
2015-03-22,105.57871741464226
2015-03-23,107.86211001211306
2015-03-24,107.10589023954014
2015-03-25,105.41569148127232
2015-03-26,105.08548439519465
2015-03-27,106.82849608505477
2015-03-28,104.89151305343138
2015-03-29,110.89193841104996
2015-03-30,105.4530418673143
2015-03-31,105.71435244273441
2015-04-01,103.02176322035375
2015-04-02,103.48663078833856
2015-04-03,104.10613073226702
2015-04-04,107.43165639179082
2015-04-05,103.94370085866794
2015-04-06,106.84767909100273
2015-04-07,106.67088558497183
2015-04-08,105.5135936674022
2015-04-09,104.19789101976728
2015-04-10,106.98397916566226
2015-04-11,105.2980425125728
2015-04-12,104.61521775635426
2015-04-13,104.16563040078218
2015-04-14,105.73069667685687
2015-04-15,103.22696073372944
2015-04-16,106.67467591743713
2015-04-17,103.95456054578837
2015-04-18,104.53558454026887
2015-04-19,106.15118800043926
2015-04-20,105.56366007171866
2015-04-21,102.42169951991839
2015-04-22,105.0270158106608
2015-04-23,104.02769397379278
2015-04-24,105.60443866843117
2015-04-25,105.53761711215787
2015-04-26,104.3068166809503
2015-04-27,109.02633824333284
2015-04-28,105.67026317610316
2015-04-29,105.7314712159685
2015-04-30,103.01743120081046
2015-05-01,104.14933886202817
2015-05-02,104.32508233444956
2015-05-03,104.19583915586577
2015-05-04,105.05885110334044
2015-05-05,102.92352317200394
2015-05-06,98.0027606545195
2015-05-07,101.18135362401581
2015-05-08,103.77823169011761
2015-05-09,101.82777913841689
2015-05-10,106.7381876404372
2015-05-11,105.19028880714134
2015-05-12,99.18848426849291
2015-05-13,101.12040665872667
2015-05-14,102.31975391887998
2015-05-15,105.11957843177261
2015-05-16,103.65488633406551
2015-05-17,100.85267865467257
2015-05-18,101.75401916626176
2015-05-19,103.38785113824558
2015-05-20,98.87879566354098
